Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
114,,,282343.166,4824991.646,50.849,100,-5.69429599,43.54613086,50.849,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2026-04-30 12:13:59.6 UTC+02:00,2026-04-30 12:13:59.6 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2736.580,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
115,,,282341.447,4824991.696,50.822,100,-5.69431726,43.54613080,50.822,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:02.0 UTC+02:00,2026-04-30 12:14:02.0 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2736.201,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
116,,,282338.558,4824992.237,50.839,100,-5.69435320,43.54613483,50.839,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:05.8 UTC+02:00,2026-04-30 12:14:05.8 UTC+02:00,1,1.2,1.4,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2735.116,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
117,,,282335.821,4824992.898,50.875,100,-5.69438731,43.54613998,50.875,Global,0.011,0.010,0.016,0.015,1.934,m,FIX,RTK,2026-04-30 12:14:09.2 UTC+02:00,2026-04-30 12:14:09.2 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2733.944,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
118,,,282333.825,4824993.083,50.897,100,-5.69441207,43.54614106,50.897,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:11.4 UTC+02:00,2026-04-30 12:14:11.4 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2733.382,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
119,,,282331.718,4824992.579,50.894,100,-5.69443792,43.54613591,50.894,Global,0.010,0.010,0.015,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:13.8 UTC+02:00,2026-04-30 12:14:13.8 UTC+02:00,1,1.2,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2733.478,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
120,,,282333.098,4824989.436,50.898,100,-5.69441959,43.54610805,50.898,Global,0.010,0.010,0.018,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:17.4 UTC+02:00,2026-04-30 12:14:17.4 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2736.821,XIXO3M,ETRS89 / UTM zone 30N,9,8,7,11,0,Reach RS3,824349ADB8F8C4C3
121,,,282336.110,4824984.489,50.921,100,-5.69438037,43.54606443,50.921,Global,0.010,0.010,0.016,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:21.4 UTC+02:00,2026-04-30 12:14:21.4 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2742.245,XIXO3M,ETRS89 / UTM zone 30N,9,8,7,12,0,Reach RS3,824349ADB8F8C4C3
122,,,282340.031,4824981.219,50.980,100,-5.69433057,43.54603616,50.980,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:25.8 UTC+02:00,2026-04-30 12:14:25.8 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2746.197,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
123,,,282342.851,4824979.054,50.894,100,-5.69429483,43.54601751,50.894,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:29.4 UTC+02:00,2026-04-30 12:14:29.4 UTC+02:00,1,1.6,1.9,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2748.863,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
124,,,282341.239,4824973.480,50.945,100,-5.69431253,43.54596691,50.945,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:14:56.6 UTC+02:00,2026-04-30 12:14:56.6 UTC+02:00,1,1.2,1.4,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2754.019,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
125,,,282335.018,4824970.102,51.392,80,-5.69438810,43.54593471,51.392,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:15:07.2 UTC+02:00,2026-04-30 12:15:07.2 UTC+02:00,1,1.1,1.3,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2756.135,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
126,,,282330.348,4824967.008,51.959,50,-5.69444461,43.54590552,51.959,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:15:13.2 UTC+02:00,2026-04-30 12:15:13.2 UTC+02:00,1,1.2,1.4,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2758.273,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
127,,,282328.098,4824964.952,52.162,0,-5.69447161,43.54588638,52.162,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:15:17.8 UTC+02:00,2026-04-30 12:15:17.8 UTC+02:00,1,1.1,1.3,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2759.864,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
128,,,282334.674,4824960.699,51.725,20,-5.69438858,43.54585003,51.725,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:15:31.2 UTC+02:00,2026-04-30 12:15:31.2 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2765.285,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
129,,,282340.961,4824958.764,51.186,50,-5.69431007,43.54583447,51.186,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 12:15:37.2 UTC+02:00,2026-04-30 12:15:37.2 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2768.390,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
130,,,282345.986,4824957.203,51.091,90,-5.69424730,43.54582189,51.091,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 12:15:42.4 UTC+02:00,2026-04-30 12:15:42.4 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2770.884,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
131,,,282352.810,4824957.146,50.886,20,-5.69416290,43.54582337,50.886,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:15:49.4 UTC+02:00,2026-04-30 12:15:49.4 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2772.262,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
132,,,282359.017,4824956.089,50.812,80,-5.69408573,43.54581567,50.812,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:15:56.2 UTC+02:00,2026-04-30 12:15:56.2 UTC+02:00,1,1.4,1.7,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2774.511,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
133,,,282363.072,4824954.199,50.848,80,-5.69403484,43.54579986,50.848,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:01.4 UTC+02:00,2026-04-30 12:16:01.4 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2777.158,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
134,,,282362.454,4824948.728,50.844,80,-5.69404029,43.54575047,50.844,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:07.6 UTC+02:00,2026-04-30 12:16:07.6 UTC+02:00,1,1.4,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2782.396,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,11,0,Reach RS3,824349ADB8F8C4C3
135,,,282361.113,4824943.589,50.771,100,-5.69405481,43.54570386,50.771,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:13.6 UTC+02:00,2026-04-30 12:16:13.6 UTC+02:00,1,1.7,2.0,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2787.169,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
136,,,282360.749,4824939.618,50.875,100,-5.69405771,43.54566803,50.875,Global,0.010,0.010,0.011,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:17.6 UTC+02:00,2026-04-30 12:16:17.6 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2790.985,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
137,,,282360.432,4824936.835,50.859,100,-5.69406052,43.54564291,50.859,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:20.2 UTC+02:00,2026-04-30 12:16:20.2 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2793.651,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
138,,,282359.044,4824932.597,50.977,80,-5.69407598,43.54560438,50.977,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:24.4 UTC+02:00,2026-04-30 12:16:24.4 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2797.530,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
139,,,282356.789,4824927.487,51.121,40,-5.69410182,43.54555777,51.121,Global,0.010,0.010,0.013,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:29.4 UTC+02:00,2026-04-30 12:16:29.4 UTC+02:00,1,1.6,1.9,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2802.095,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
140,,,282355.617,4824924.881,51.267,10,-5.69411526,43.54553399,51.267,Global,0.010,0.010,0.012,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:32.2 UTC+02:00,2026-04-30 12:16:32.2 UTC+02:00,1,1.3,1.6,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2804.419,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
141,,,282353.508,4824919.128,51.562,0,-5.69413904,43.54548163,51.562,Global,0.010,0.010,0.015,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:38.4 UTC+02:00,2026-04-30 12:16:38.4 UTC+02:00,1,1.3,1.5,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2809.644,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
142,,,282353.199,4824915.329,51.767,0,-5.69414133,43.54544737,51.767,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:41.6 UTC+02:00,2026-04-30 12:16:41.6 UTC+02:00,1,1.7,2.1,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2813.302,XIXO3M,ETRS89 / UTM zone 30N,10,8,7,12,0,Reach RS3,824349ADB8F8C4C3
143,,,282358.156,4824912.325,51.546,0,-5.69407884,43.54542180,51.546,Global,0.010,0.010,0.010,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:47.8 UTC+02:00,2026-04-30 12:16:47.8 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2817.208,XIXO3M,ETRS89 / UTM zone 30N,9,8,7,12,0,Reach RS3,824349ADB8F8C4C3
144,,,282363.516,4824911.649,51.203,20,-5.69401229,43.54541727,51.203,Global,0.010,0.010,0.014,0.014,1.934,m,FIX,RTK,2026-04-30 12:16:52.6 UTC+02:00,2026-04-30 12:16:52.6 UTC+02:00,1,1.5,1.8,281815.044,4827675.244,156.559,-5.70190538,43.57011345,156.559,2818.921,XIXO3M,ETRS89 / UTM zone 30N,9,8,7,12,0,Reach RS3,824349ADB8F8C4C3
